season,division,position,suffix,division_total_teams
1992–93,Prem,17,th,20
1993–94,Prem,5,th,20
1994–95,Prem,5,th,20
1995–96,Prem,13,th,20
1996–97,Prem,11,th,20
1997–98,Prem,5,th,20
1998–99,Prem,4,th,20
1999–20,Prem,3,rd,20
2000–01,Prem,4,th,20
2001–02,Prem,5,th,20
2002–03,Prem,15,th,20
2003–04,Prem,19,th,20
2004–05,Champ,14,th,24
2005–06,Champ,5,th,24
2006–07,Champ,24,th,24
2007–08,Lge 1,5,th,24
2008–09,Lge 1,4,th,24
2009–10,Lge 1,2,nd,24
2010–11,Champ,7,th,24
2011–12,Champ,14,th,24
2012–13,Champ,13,th,24
2013–14,Champ,15,th,24
2014–15,Champ,15,th,24
2015–16,Champ,13,th,24
2016–17,Champ,7,th,24
2017–18,Champ,13,th,24
2018–19,Champ,3,rd,24
2019–20,Champ,1,st,24
